datetime,timestamp,in_bed_pct,hr_mean,hr_std,dhr,rr_mean,rr_std,drr,large_move_pct,minor_move_pct,turnovers_delta,apnea_delta,flags,vib_move_pct,vib_resp_q,agree_flags
2000-01-01 06:31:08,946701068,100,84,0,1,17,0,0,0,100,0,0,1,100,95,5
2000-01-01 06:31:38,946701098,100,81,3,253,17,0,0,0,100,0,0,0,100,95,4
2000-01-01 06:32:08,946701128,100,73,1,248,17,0,0,0,100,0,0,0,100,95,4
2000-01-01 06:32:38,946701158,100,68,1,251,17,0,0,0,100,0,0,0,100,95,4
2000-01-01 06:34:02,946701242,100,69,1,1,17,0,0,0,100,0,0,0,100,95,4
2000-01-01 06:34:32,946701272,100,70,0,1,17,0,0,0,100,0,0,0,100,95,4
2000-01-01 06:35:02,946701302,100,70,0,0,17,0,0,0,100,0,0,0,100,95,4
2000-01-01 06:35:32,946701332,100,66,3,252,17,0,0,0,100,0,0,0,100,95,4
2000-01-01 06:36:02,946701362,100,64,1,254,17,0,0,0,100,0,0,0,100,95,4
2000-01-01 06:36:32,946701392,100,71,0,7,17,0,0,0,100,0,0,0,100,95,4
2000-01-01 06:37:02,946701422,100,73,1,2,17,0,0,0,100,0,0,0,100,95,4
2000-01-01 06:37:32,946701452,100,74,0,1,17,0,0,0,100,0,0,0,100,95,4
2000-01-01 06:38:02,946701482,100,74,3,0,17,0,0,0,100,0,0,0,100,95,4
2000-01-01 06:38:32,946701512,100,78,3,4,17,0,0,0,100,0,0,0,100,95,4
2000-01-01 06:39:02,946701542,100,94,20,16,20,3,3,0,100,0,0,0,100,95,4
2000-01-01 06:39:32,946701572,100,89,16,251,20,0,0,0,100,0,0,0,100,95,4
2000-01-01 06:40:02,946701602,100,62,1,229,22,1,2,0,100,0,0,0,100,95,4
2000-01-01 06:40:32,946701632,100,63,1,1,23,0,1,0,100,0,0,0,100,95,4
2000-01-01 06:41:02,946701662,100,62,0,255,20,2,253,0,100,0,0,0,100,95,4
2000-01-01 06:41:32,946701692,100,69,7,7,19,2,255,0,100,0,0,0,100,95,4
2000-01-01 06:42:02,946701722,100,85,0,16,24,0,5,0,100,0,0,0,100,95,4
2000-01-01 06:42:32,946701752,100,66,5,237,21,0,253,0,100,0,0,0,100,95,4
2000-01-01 06:43:02,946701782,100,70,1,4,18,1,253,0,100,0,0,0,100,95,4
2000-01-01 06:43:32,946701812,100,69,0,255,17,0,255,0,100,0,0,0,100,95,4
2000-01-01 06:44:50,946701890,100,69,0,0,17,0,0,0,100,0,0,0,100,95,4
2000-01-01 06:45:20,946701920,100,62,1,249,18,0,1,0,100,0,0,0,100,95,4
2000-01-01 06:45:50,946701950,100,62,0,0,17,0,255,0,100,0,0,0,100,95,4
2000-01-01 06:46:20,946701980,100,62,2,0,18,1,1,0,100,0,0,0,100,95,4
2000-01-01 06:46:50,946702010,100,67,0,5,21,0,3,0,100,0,0,0,100,95,4
2000-01-01 06:47:20,946702040,100,67,0,0,21,0,0,0,100,0,0,0,100,95,4
2000-01-01 06:47:50,946702070,100,67,0,0,20,1,255,0,100,0,0,0,100,95,4
2000-01-01 06:48:20,946702100,100,65,1,254,19,1,255,0,100,0,0,0,100,95,4
2000-01-01 06:48:50,946702130,100,64,0,255,20,0,1,0,100,0,0,0,100,95,4
2000-01-01 06:49:20,946702160,100,66,4,2,17,0,253,0,100,0,0,0,100,95,4
2000-01-01 06:49:50,946702190,100,76,3,10,17,1,0,0,100,0,0,0,100,95,4
2000-01-01 06:50:20,946702220,100,70,3,250,19,0,2,0,100,0,0,0,100,95,4
2000-01-01 06:50:50,946702250,100,75,1,5,19,0,0,0,100,0,0,0,100,95,4
2000-01-01 06:51:20,946702280,100,67,0,248,18,0,255,0,100,0,0,0,100,95,4
2000-01-01 06:51:50,946702310,100,66,0,255,18,0,0,0,100,0,0,0,100,95,4
2000-01-01 06:52:20,946702340,100,65,1,255,19,0,1,0,100,0,0,0,100,95,4
2000-01-01 06:52:50,946702370,100,68,6,3,18,1,255,0,100,0,0,0,100,95,4
2000-01-01 06:53:20,946702400,100,83,2,15,17,0,255,0,100,0,0,0,100,95,4
2000-01-01 06:53:50,946702430,100,80,6,253,17,0,0,0,100,0,0,0,100,95,4
2000-01-01 06:54:20,946702460,100,70,5,246,17,0,0,0,100,0,0,0,100,95,4
2000-01-01 06:55:50,946702550,100,62,0,248,19,0,2,0,100,0,0,0,100,95,4
2000-01-01 06:56:20,946702580,100,62,0,0,17,1,254,0,100,0,0,0,100,95,4
